index,genres,keywords,tagline,title,cast,director
85,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,In heroes we trust.,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,Comedy Adventure Fantasy Animation Family,ogre 3d,It ain't Ogre... Til it's Ogre,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Imagine a world where nothing is impossible.,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,Family Animation Comedy Adventure,support group product placement bullying racing arcade,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,This holiday season... believe.,The Polar Express,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,Action Adventure Science Fiction,alternate history alien invasion,We had twenty years to prepare. So did they.,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,Fantasy Adventure Animation Family,flying blacksmith arena island night,One adventure will change two worlds,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
93,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,The Machines Will Rise.,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
94,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,All heroes start somewhere.,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
95,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Mankind was born on Earth. It was never meant to die here.,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
96,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Your mind is the scene of the crime.,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
97,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,A god incarnate. A city doomed.,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
98,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
99,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,Live life 1/4 mile at a time.,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
100,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
101,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,Witness the moment that will change our world.,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
102,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
103,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,It's The Coolest Job Ever.,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
104,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Mayday,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
105,Fantasy,based on novel clock queen sequel alice in wonderland,It's time for a little madness.,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
106,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Who's ready for Thirds?,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
107,Action Adventure Fantasy,video game elves orcs magic chase,Two worlds. One home.,Warcraft,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
108,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Reset the future,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
109,Adventure Family Fantasy,based on novel magic good vs evil king narnia,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
110,History Romance War,nurse patriotism hawaii world war ii pilot,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
111,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Their war. Our world.,Transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
112,War History Action Adventure Drama,aristotle egypt greece persia elephant,The greatest legend of all was real.,Alexander,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
113,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
114,Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
115,Fantasy Action,flying alcohol love of one's life forbidden love lovers,Bad Behavior. Bad Attitude. Real Hero.,Hancock,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
116,Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,The last man on Earth is not alone,I Am Legend,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
117,Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
118,Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,He's dying to become a chef.,Ratatouille,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
119,Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Evil fears the knight.,Batman Begins,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
120,Family Animation,africa jealousy dance hunger lion,Still together. Still lost!,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
121,Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
122,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,Witness the Origin.,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
123,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,Everything that has a beginning has an end.,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
124,Animation Adventure Family,queen musical princess betrayal snowman,Only the act of true love will thaw a frozen heart.,Frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
125,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,Free your mind.,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
126,Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Delve into the darkness,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
127,Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,What a Lovely Day.,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
128,Thriller Mystery,rome vatican based on novel symbolism christian,,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
129,Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Two worlds. One hero.,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
130,Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,Fully Awesome. Ridonculous. Let It Begin.,Bolt,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
131,Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,The world needs bigger heroes,G-Force,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
132,Adventure,underworld hades mythology greek mythology zeus,Feel the Wrath,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
133,Comedy Fantasy,witch imprisonment vampire curse fish out of water,Every Family Has Its Demons,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
